listing_id,city,neighborhood,property_type,bedrooms,bathrooms,max_guests,price_per_night,amenities,host_rating,superhost,instant_book,min_nights,nearest_transit,transit_walk_min,nearby_attraction_1,nearby_attraction_2
L0001,New York,Midtown Manhattan,Entire home,2,1.0,4,280,Kitchen; WiFi; Air conditioning; Free parking; Pool; Coffee maker; Crib; Patio; Carbon monoxide alarm; Heating; Gym access,4.53,0,0,2,Lexington Ave/59th St,9,Central Park,Empire State Building
L0002,San Francisco,Marina District,Shared room,1,1.0,2,92,Dishwasher; Heating; Smoke alarm; Air conditioning; Pet friendly; TV; Hair dryer; Free parking; Patio; WiFi; Iron; Crib,4.67,0,1,3,Montgomery St BART,25,Chinatown,Fisherman's Wharf
L0003,New York,Park Slope,Entire home,1,2.0,2,210,Pool; BBQ grill; Iron; Kitchen; Pet friendly; Patio; Crib; Smoke alarm; Hot tub; EV charger; Heating; TV; Hair dryer,4.83,1,1,5,14th St-Union Sq,8,Rockefeller Center,Museum of Modern Art
L0004,Miami,Design District,Private room,1,1.0,2,175,Heating; Washer; Patio; Dryer; BBQ grill,4.91,0,0,3,South Miami Metrorail,14,Perez Art Museum,Jungle Island
L0005,Chicago,Lakeview,Entire home,2,1.0,4,280,Coffee maker; Dryer; Pet friendly; Heating; TV; BBQ grill; Free parking; Washer; Hair dryer,4.87,0,1,1,Fullerton L,13,Lincoln Park Zoo,Millennium Park
L0006,Chicago,Wicker Park,Entire home,3,2.5,6,214,Dishwasher; Dryer; Hot tub; Coffee maker; Gym access; Carbon monoxide alarm; Free parking; Pet friendly; TV; Patio; Iron; EV charger,4.57,0,1,1,Roosevelt L,11,Lincoln Park Zoo,Chicago Riverwalk
L0007,New York,Harlem,Entire home,4,2.5,8,335,Washer; EV charger; Crib; Workspace; Pool; Patio; Carbon monoxide alarm; Free parking; Heating; Kitchen; Iron; Coffee maker; Dryer,4.29,0,1,1,Columbus Circle,11,Central Park,Brooklyn Bridge
L0008,Boston,Fenway-Kenmore,Entire home,1,3.0,3,238,Heating; Kitchen; Patio; Dishwasher; WiFi; Air conditioning; Pool; Dryer; Carbon monoxide alarm; BBQ grill; Fire extinguisher; Pet friendly; Free parking,4.88,0,1,1,Park Street,7,Fenway Park,Museum of Fine Arts
L0009,San Francisco,Pacific Heights,Entire home,2,2.0,5,192,Dryer; Kitchen; Coffee maker; Air conditioning; Pet friendly; Patio; EV charger; Pool; Smoke alarm; Crib; TV; Heating; Carbon monoxide alarm,4.85,1,1,2,Van Ness Muni,3,Fisherman's Wharf,Palace of Fine Arts
L0010,San Francisco,Sunset District,Entire home,4,3.0,8,307,Heating; Air conditioning; Dishwasher; Free parking; Coffee maker; Hot tub; Washer; Hair dryer; Crib; Fire extinguisher; Pet friendly; Dryer; BBQ grill; Workspace,4.93,1,0,5,Balboa Park BART,20,Golden Gate Park,Ferry Building
L0011,Chicago,Loop,Entire home,2,1.0,5,191,Hot tub; Kitchen; Air conditioning; Patio; Carbon monoxide alarm; Pet friendly; Crib; WiFi; Iron; Smoke alarm; BBQ grill; Workspace,4.99,1,0,5,Jackson L,7,Chicago Riverwalk,Field Museum
L0012,Chicago,Pilsen,Private room,1,1.0,1,81,Kitchen; Hair dryer; Free parking; Pool; Heating; Crib; Dishwasher; Carbon monoxide alarm; Washer; Fire extinguisher,4.99,0,1,1,Belmont L,21,Navy Pier,Chicago Riverwalk
L0013,New York,Chelsea,Entire home,4,1.0,9,348,WiFi; BBQ grill; Free parking; Smoke alarm; Iron; Hot tub; Air conditioning; EV charger,4.85,0,0,1,14th St-Union Sq,15,Museum of Modern Art,Chelsea Market
L0014,Miami,Design District,Entire home,3,1.5,6,214,Free parking; Hot tub; Kitchen; Carbon monoxide alarm; WiFi; Coffee maker; Dishwasher; Pet friendly; Hair dryer; EV charger; BBQ grill; Iron; Dryer; TV,4.94,1,1,3,Douglas Road Metrorail,15,Wynwood Walls,Art Deco Historic District
L0015,Boston,Seaport,Shared room,1,1.0,2,96,Carbon monoxide alarm; EV charger; Gym access; Patio; Iron; Fire extinguisher; Crib; Dishwasher,4.82,1,1,1,South Station,13,Boston Common,Freedom Trail
L0016,Boston,South End,Entire home,1,3.0,2,171,Free parking; Crib; Smoke alarm; Workspace; BBQ grill; Pool; Washer; WiFi; Heating; Gym access; Pet friendly; Patio; Air conditioning; Hot tub,5.0,0,1,3,Copley,3,Faneuil Hall,Freedom Trail
L0017,Chicago,Logan Square,Shared room,1,1.0,2,94,Pool; Patio; Hot tub; Coffee maker; Workspace; Pet friendly; BBQ grill; Fire extinguisher; Air conditioning,4.03,0,1,1,Jackson L,8,Museum of Science and Industry,Magnificent Mile
L0018,Miami,Design District,Shared room,1,1.0,2,51,Carbon monoxide alarm; Smoke alarm; EV charger; WiFi; BBQ grill; Crib; Workspace; Patio,4.66,0,1,2,Douglas Road Metrorail,9,Perez Art Museum,Jungle Island
L0019,New York,Chelsea,Entire home,3,2.0,6,404,WiFi; Smoke alarm; EV charger; BBQ grill; Pet friendly; Air conditioning; Carbon monoxide alarm; Washer; Fire extinguisher; Patio; Gym access; Coffee maker; Free parking,4.65,0,0,2,14th St-Union Sq,8,Statue of Liberty Ferry,Museum of Modern Art
