review_id,listing_id,user_id,review_text
R00001,L0001,U0129,Stayed here for a week and loved every minute. Midtown Manhattan has so much character. Great coffee shops nearby.
R00002,L0001,U0129,"Great location, just 9 minutes from Lexington Ave/59th St. The Carbon monoxide alarm was a huge plus. Would definitely stay here again!"
R00003,L0001,U0129,Beautiful apartment in a great part of New York. The host thought of everything. Five stars all around.
R00004,L0001,U0131,Perfect for our business trip. Close to Central Park and the host was incredibly responsive. Highly recommend.
R00005,L0001,U0129,"Wonderful host, beautiful space in Midtown Manhattan. Loved having Carbon monoxide alarm available. Will be back!"
R00006,L0002,U0148,Fantastic place for a romantic getaway. The Iron was a highlight and the neighborhood felt very safe.
R00007,L0002,U0009,Spacious and well-maintained. Walking distance to Montgomery St BART and several great restaurants. Highly recommend for anyone visiting San Francisco.
R00008,L0002,U0125,One of the best Airbnbs we have stayed at. The location near Montgomery St BART made getting around so easy.
R00009,L0002,U0009,Loved this place! The neighborhood (Marina District) was vibrant and walkable. Iron made the stay so comfortable.
R00010,L0002,U0153,Fine for a short stay. The Iron worked well but the street noise at night was noticeable.
R00011,L0002,U0128,Fantastic place for a romantic getaway. The Iron was a highlight and the neighborhood felt very safe.
R00012,L0002,U0037,Couldn't have asked for a better stay. The Iron was perfect and Chinatown was right around the corner.
R00013,L0003,U0222,This was our second time booking this place and it was just as great. Love the Park Slope area.
R00014,L0003,U0222,Location is convenient but the apartment felt a bit dated. Park Slope has great restaurants though which made up for it.
R00015,L0003,U0222,The space was immaculate and the location is unbeatable. Easy access to Rockefeller Center and great local dining.
R00016,L0003,U0222,The space was immaculate and the location is unbeatable. Easy access to Rockefeller Center and great local dining.
R00017,L0004,U0026,Perfect for our leisure trip. Close to Perez Art Museum and the host was incredibly responsive. Highly recommend.
R00018,L0004,U0097,The space was immaculate and the location is unbeatable. Easy access to Perez Art Museum and great local dining.
R00019,L0004,U0020,Couldn't have asked for a better stay. The Dryer was perfect and Perez Art Museum was right around the corner.
R00020,L0005,U0074,Spacious and well-maintained. Walking distance to Fullerton L and several great restaurants. Highly recommend for anyone visiting Chicago.
R00021,L0005,U0104,"Great location, just 13 minutes from Fullerton L. The TV was a huge plus. Would definitely stay here again!"
